year,land_average_temperature_c,land_average_uncertainty_c,land_ocean_average_temperature_c,land_ocean_average_uncertainty_c,land_months,land_ocean_months,land_ocean_anomaly_c
1750,8.719363636363637,2.6378181818181816,,,11,0,
1751,7.9761428571428565,2.781142857142857,,,7,0,
1752,5.779833333333333,2.9770000000000003,,,6,0,
1753,8.388083333333332,3.176,,,12,0,
1754,8.469333333333333,3.4942499999999996,,,12,0,
1755,8.355583333333334,3.8503333333333334,,,12,0,
1756,8.849583333333333,3.262333333333333,,,12,0,
1757,9.022,4.026,,,12,0,
1758,6.7435833333333335,3.362916666666667,,,12,0,
1759,7.985083333333333,3.6789166666666664,,,12,0,
1760,7.1851666666666665,3.0889166666666665,,,12,0,
1761,8.772499999999999,3.144833333333333,,,12,0,
1762,8.6065,3.52425,,,12,0,
1763,7.49675,3.1515833333333334,,,12,0,
1764,8.400333333333334,2.7752499999999998,,,12,0,
1765,8.251916666666666,2.42775,,,12,0,
1766,8.405666666666667,2.8358333333333334,,,12,0,
1767,8.2215,2.962666666666667,,,12,0,
1768,6.781333333333333,2.266,,,12,0,
1769,7.694583333333333,2.410083333333333,,,12,0,
1770,7.691916666666667,2.780666666666667,,,12,0,
1771,7.853166666666667,2.6045833333333333,,,12,0,
1772,8.1935,2.463833333333333,,,12,0,
1773,8.2215,2.36075,,,12,0,
1774,8.772166666666667,3.4151666666666665,,,12,0,
1775,9.183083333333334,2.3205833333333334,,,12,0,
1776,8.304,2.8641666666666663,,,12,0,
1777,8.25625,2.442833333333333,,,12,0,
1778,8.542250000000001,2.8725,,,12,0,
1779,8.98325,2.5058333333333334,,,12,0,
1780,9.432916666666666,2.5848333333333335,,,12,0,
1781,8.102583333333333,2.503833333333333,,,12,0,
1782,7.90125,2.5505833333333334,,,12,0,
1783,7.680833333333333,2.4944166666666665,,,12,0,
1784,7.861999999999999,2.2556666666666665,,,12,0,
1785,7.3629999999999995,2.2395,,,12,0,
1786,8.258166666666666,2.5254166666666666,,,12,0,
1787,8.031833333333333,2.3617500000000002,,,12,0,
1788,8.447166666666666,2.5578333333333334,,,12,0,
1789,8.334166666666667,1.8686666666666667,,,12,0,
1790,7.982333333333333,1.7716666666666665,,,12,0,
1791,8.234250000000001,1.7837500000000002,,,12,0,
1792,8.089,1.7004166666666667,,,12,0,
1793,8.229166666666666,2.2744166666666668,,,12,0,
1794,8.526000000000002,1.979,,,12,0,
1795,8.350333333333333,2.0433333333333334,,,12,0,
1796,8.270999999999999,1.9206666666666667,,,12,0,
1797,8.510583333333333,2.045666666666667,,,12,0,
1798,8.670250000000001,1.9033333333333333,,,12,0,
1799,8.50575,1.7384166666666667,,,12,0,
1800,8.484250000000001,1.7186666666666668,,,12,0,
1801,8.589666666666666,1.5816666666666668,,,12,0,
1802,8.578166666666666,1.8490000000000002,,,12,0,
1803,8.503,1.6331666666666667,,,12,0,
1804,8.844833333333332,1.8418333333333334,,,12,0,
1805,8.56275,1.6889166666666666,,,12,0,
1806,8.434083333333334,1.5700833333333335,,,12,0,
1807,8.281416666666667,1.59225,,,12,0,
1808,7.626833333333333,1.9968333333333332,,,12,0,
1809,7.076416666666667,2.1354166666666665,,,12,0,
1810,6.922666666666667,2.311,,,12,0,
1811,6.859500000000001,2.0957500000000002,,,12,0,
1812,7.04625,2.1355833333333334,,,12,0,
1813,7.739916666666667,1.7088333333333334,,,12,0,
1814,7.59175,2.1685,,,12,0,
1815,7.239333333333334,1.9665,,,12,0,
1816,6.9375,2.1929166666666666,,,12,0,
1817,6.975666666666666,1.7083333333333333,,,12,0,
1818,7.828916666666667,1.8290833333333332,,,12,0,
1819,7.369166666666666,1.5819166666666666,,,12,0,
1820,7.61625,1.6187500000000001,,,12,0,
1821,8.090083333333334,1.3758333333333335,,,12,0,
1822,8.188333333333334,1.37525,,,12,0,
1823,7.718666666666667,1.3622500000000002,,,12,0,
1824,8.547166666666667,1.4478333333333333,,,12,0,
1825,8.389333333333333,1.5078333333333334,,,12,0,
1826,8.356583333333333,1.5595833333333333,,,12,0,
1827,8.80875,1.4435833333333334,,,12,0,
1828,8.165333333333333,1.6484166666666666,,,12,0,
1829,7.941833333333332,1.31975,,,12,0,
1830,8.51675,1.4314166666666666,,,12,0,
1831,7.639166666666667,1.5315,,,12,0,
1832,7.450166666666667,1.5404166666666665,,,12,0,
1833,8.013,1.2335,,,12,0,
1834,8.146749999999999,1.15225,,,12,0,
1835,7.392499999999999,1.2753333333333332,,,12,0,
1836,7.695833333333334,1.1694166666666665,,,12,0,
1837,7.375666666666667,1.2909166666666667,,,12,0,
1838,7.514916666666667,1.1623333333333334,,,12,0,
1839,7.63225,1.1794166666666668,,,12,0,
1840,7.796250000000001,0.9911666666666666,,,12,0,
1841,7.688166666666667,0.952,,,12,0,
1842,8.02275,0.8975,,,12,0,
1843,8.173666666666668,0.7498333333333332,,,12,0,
1844,7.646333333333334,0.926,,,12,0,
1845,7.851166666666667,0.8815000000000001,,,12,0,
1846,8.55275,1.05175,,,12,0,
1847,8.086,0.9006666666666666,,,12,0,
1848,7.979499999999999,0.8713333333333333,,,12,0,
1849,7.984416666666667,0.9135833333333334,,,12,0,
1850,7.900666666666667,0.8764166666666666,14.867166666666668,0.30816666666666664,12,12,-0.43238055555555555
1851,8.178583333333334,0.8819166666666667,14.991833333333334,0.3120833333333333,12,12,-0.3077138888888893
1852,8.100166666666667,0.91825,15.0065,0.3164166666666667,12,12,-0.29304722222222246
1853,8.041833333333333,0.835,14.955166666666669,0.2838333333333333,12,12,-0.3443805555555546
1854,8.2105,0.8256666666666667,14.991,0.2764166666666667,12,12,-0.30854722222222364
1855,8.11075,0.8871666666666668,15.021083333333335,0.2911666666666667,12,12,-0.2784638888888882
1856,7.995916666666666,0.7607499999999999,14.879333333333333,0.26016666666666666,12,12,-0.42021388888889
1857,7.758166666666667,0.7510833333333333,14.758249999999999,0.25975,12,12,-0.5412972222222248
1858,8.10025,0.69975,14.8815,0.2518333333333333,12,12,-0.41804722222222246
1859,8.252,0.6746666666666666,14.929916666666665,0.25825000000000004,12,12,-0.3696305555555579
1860,7.960833333333333,0.626,14.882916666666667,0.25216666666666665,12,12,-0.4166305555555567
1861,7.8465,0.6534166666666666,14.800666666666666,0.2785,12,12,-0.4988805555555569
1862,7.558583333333334,0.6889166666666666,14.740083333333333,0.2876666666666667,12,12,-0.5594638888888905
1863,8.111833333333333,0.7480000000000001,14.935749999999999,0.31633333333333336,12,12,-0.36379722222222455
1864,7.983583333333333,0.6764166666666668,14.896500000000001,0.28783333333333333,12,12,-0.4030472222222219
1865,8.177833333333334,0.6621666666666667,14.996666666666668,0.30424999999999996,12,12,-0.3028805555555554
1866,8.292166666666667,0.606,15.057,0.28608333333333336,12,12,-0.2425472222222229
1867,8.436333333333334,0.6348333333333334,15.058666666666667,0.28575,12,12,-0.240880555555556
1868,8.247916666666667,0.5463333333333333,15.096916666666667,0.24933333333333332,12,12,-0.2026305555555563
1869,8.432083333333333,0.5956666666666667,15.0655,0.24358333333333335,12,12,-0.23404722222222318
1870,8.201333333333332,0.5501666666666667,15.004333333333333,0.22483333333333333,12,12,-0.29521388888889
1871,8.115083333333333,0.57025,15.005916666666666,0.23199999999999998,12,12,-0.2936305555555574
1872,8.193833333333332,0.5890833333333333,15.019333333333334,0.2305,12,12,-0.28021388888888943
1873,8.351083333333333,0.5505,15.04925,0.22208333333333333,12,12,-0.2502972222222226
1874,8.4335,0.5179166666666667,14.957,0.21333333333333335,12,12,-0.34254722222222256
1875,7.859583333333333,0.4515,14.921916666666666,0.19708333333333336,12,12,-0.377630555555557
1876,8.080083333333333,0.4335,14.909416666666667,0.19333333333333333,12,12,-0.3901305555555563
1877,8.539583333333333,0.4559166666666667,15.282666666666666,0.19675,12,12,-0.016880555555557564
1878,8.829749999999999,0.42491666666666666,15.357416666666666,0.18625,12,12,0.05786944444444231
1879,8.165833333333333,0.46341666666666664,15.064416666666666,0.18341666666666664,12,12,-0.23513055555555695
1880,8.11875,0.41491666666666666,15.008666666666668,0.17291666666666664,12,12,-0.2908805555555549
1881,8.270916666666666,0.41933333333333334,15.087166666666667,0.17008333333333334,12,12,-0.21238055555555668
1882,8.128916666666667,0.3799166666666667,15.056583333333334,0.16008333333333333,12,12,-0.2429638888888892
1883,7.976916666666667,0.3706666666666667,14.96325,0.15116666666666664,12,12,-0.3362972222222229
1884,7.773666666666666,0.39625,14.83325,0.15066666666666667,12,12,-0.4662972222222237
1885,7.919666666666667,0.425,14.854416666666665,0.15491666666666667,12,12,-0.4451305555555578
1886,7.9545,0.38599999999999995,14.83525,0.14533333333333334,12,12,-0.464297222222223
1887,7.914916666666667,0.39208333333333334,14.816,0.15016666666666664,12,12,-0.4835472222222226
1888,8.0905,0.3824166666666667,14.994083333333334,0.14925,12,12,-0.3054638888888892
1889,8.319,0.3698333333333334,15.113416666666666,0.15241666666666667,12,12,-0.18613055555555746
1890,7.971666666666667,0.34299999999999997,14.84075,0.14966666666666667,12,12,-0.4587972222222234
